Player,Valoration,Game_Day,Stats_Valoration
Anthony Randolph,0.118,2021-12-14,0.162
Guerschon Yabusele,0.307,2021-12-16,0.129
Anthony Randolph,0.0,2021-12-16,0.035
Guerschon Yabusele,0.013,2021-12-19,0.1
Anthony Randolph,0.0,2021-12-19,0.004
Guerschon Yabusele,0.209,2022-01-09,0.114
Anthony Randolph,0.018,2022-01-09,0.0
Guerschon Yabusele,0.152,2022-01-14,0.137
Anthony Randolph,0.148,2022-01-14,0.165
Trey Thompkins,0.137,2022-01-14,0.025
Guerschon Yabusele,0.086,2022-01-23,0.184
Anthony Randolph,0.32,2022-01-23,0.028
Guerschon Yabusele,0.116,2022-01-25,0.097
Trey Thompkins,0.0,2022-01-25,0.02
Anthony Randolph,0.25,2022-01-25,0.028
Guerschon Yabusele,0.129,2022-01-28,0.176
Trey Thompkins,0.0,2022-01-28,0.041
Anthony Randolph,0.23,2022-01-28,0.0
Anthony Randolph,0.563,2022-01-30,0.07
Trey Thompkins,0.0,2022-01-30,0.03
Guerschon Yabusele,0.144,2022-01-30,0.014
Guerschon Yabusele,0.081,2022-02-02,0.208
Anthony Randolph,0.0,2022-02-02,0.024
Guerschon Yabusele,0.149,2022-02-04,0.058
Trey Thompkins,0.0,2022-02-04,0.051
Guerschon Yabusele,0.027,2022-02-06,0.081
Anthony Randolph,0.11,2022-02-06,0.023
Trey Thompkins,0.0,2022-02-08,0.065
Guerschon Yabusele,-0.062,2022-02-08,0.022
Anthony Randolph,0.0,2022-02-08,0.0
Guerschon Yabusele,-0.005,2022-02-11,0.075
Anthony Randolph,0.0,2022-02-11,0.0
Trey Thompkins,0.0,2022-02-11,0.286
Guerschon Yabusele,0.045,2022-02-13,0.039
Trey Thompkins,0.0,2022-02-13,0.019
Guerschon Yabusele,0.14,2022-02-17,0.171
Trey Thompkins,0.0,2022-02-17,0.0
Guerschon Yabusele,0.109,2022-02-19,0.132
Trey Thompkins,0.0,2022-02-19,0.134
Guerschon Yabusele,0.285,2022-02-20,0.097
Trey Thompkins,0.0,2022-02-20,0.024
Trey Thompkins,0.2,2022-02-24,0.122
Guerschon Yabusele,-0.016,2022-02-24,0.038
Anthony Randolph,0.0,2022-02-24,0.014
Guerschon Yabusele,0.002,2022-03-06,0.093
Anthony Randolph,0.0,2022-03-06,0.014
Guerschon Yabusele,-0.018,2022-03-08,0.162
Trey Thompkins,0.0,2022-03-08,0.161
Guerschon Yabusele,0.21,2022-03-10,0.082
Trey Thompkins,0.0,2022-03-10,0.019
Guerschon Yabusele,0.145,2022-03-13,0.047
Anthony Randolph,-0.265,2022-03-13,0.187
Guerschon Yabusele,-0.034,2022-03-17,0.215
Anthony Randolph,0.0,2022-03-17,0.152
Guerschon Yabusele,0.111,2022-03-20,0.124
Anthony Randolph,0.0,2022-03-20,0.038
Guerschon Yabusele,0.074,2022-03-22,0.139
Trey Thompkins,0.11,2022-03-22,0.0
Anthony Randolph,0.0,2022-03-22,0.0
Guerschon Yabusele,0.12,2022-03-24,0.183
Trey Thompkins,-0.287,2022-03-24,0.01
Guerschon Yabusele,0.11,2022-03-27,0.122
Trey Thompkins,0.0,2022-03-31,0.052
Guerschon Yabusele,0.36,2022-03-31,0.101
Guerschon Yabusele,0.003,2022-04-03,0.131
Guerschon Yabusele,0.022,2022-04-08,0.113
Anthony Randolph,0.155,2022-04-08,0.064
Guerschon Yabusele,0.045,2022-04-10,0.205
Anthony Randolph,0.0,2022-04-10,0.053
Anthony Randolph,0.0,2022-04-13,0.071
Guerschon Yabusele,0.052,2022-04-13,0.05
Guerschon Yabusele,0.238,2022-04-17,0.08
Anthony Randolph,0.039,2022-04-17,0.092
Guerschon Yabusele,0.266,2022-04-20,0.109
Anthony Randolph,-0.3,2022-04-20,0.039
Guerschon Yabusele,0.14,2022-04-22,0.065
Anthony Randolph,0.0,2022-04-22,0.037
Guerschon Yabusele,0.086,2022-04-24,0.156
Anthony Randolph,0.0,2022-04-24,0.028
Guerschon Yabusele,0.131,2022-04-26,0.13
Anthony Randolph,0.0,2022-04-26,0.0
