,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Sergio Llull,17,1,2,23,42.9%,-,1,0,2,0,0,10
1,Rudy Fernandez,16,4,3,26,55.6%,75.0%,2,2,0,2,1,21
2,Guerschon Yabusele,15,2,3,25,41.7%,100.0%,1,1,3,1,0,11
3,Thomas Heurtel,13,4,4,18,50.0%,100.0%,0,4,3,1,0,15
4,Walter Tavares,11,3,0,19,57.1%,75.0%,2,1,0,1,1,12
5,Vincent Poirier,9,8,0,21,57.1%,50.0%,4,4,0,1,2,16
6,Nigel Williams-Goss,8,3,1,23,50.0%,100.0%,0,3,0,0,0,9
7,Fabien Causeur,4,0,1,17,100.0%,-,0,0,2,0,0,3
8,Alberto Abalde,0,1,2,14,0.0%,-,0,1,0,1,0,2
9,Carlos Alocen,0,0,0,1,-,-,0,0,0,0,0,0
10,Anthony Randolph,0,1,0,15,0.0%,-,0,1,2,1,0,-2
